route,year,field5,n,mean_pct,median_pct,max_pct,median_dist_m,median_bearing,frame_steps
84-40,2021,0038,8,40.926084656084655,47.67388888888889,48.05962962962963,313.01437666663173,359.45606906720855,"[3, 4, 7]"
84-40,2021,0039,9,47.67930555555556,47.33759259259259,49.00277777777778,315.5039657084411,179.53965759963296,"[2, 3]"
84-40,2021,0040,5,48.40675925925926,48.36527777777778,48.67055555555555,309.0105175938784,179.53645324104565,"[2, 3]"
84-40,2021,0041,6,22.2452882666344,22.281306336015476,22.563475271092305,309.5036348736473,0.3684565253377059,"[3, 4]"
84-40,2021,0042,8,22.107189748396046,22.337262602805467,23.05764411027569,309.00161811874057,180.0,"[2, 3, 4043]"
84-40,2021,0043,8,20.67244124497953,20.739938728731378,21.0591927805879,315.03214121736846,359.27362649863204,"[3, 43]"
84-40,2021,0044,8,20.738079097581505,20.65491183879093,20.906801007556677,315.0,180.0,"[2, 3]"
84-40,2021,0045,10,34.1148171043545,35.82259825327511,48.44611111111111,311.50160513230105,0.18393445485401116,"[3, 4]"
84-40,2021,0047,9,38.17758157128685,42.223703703703706,48.11314814814815,314.0039885043624,0.18393492874741924,"[2, 3]"
84-40,2021,0049,13,20.61132013493432,21.305194752709724,34.19776119402985,316.75493178394595,179.95474270786036,"[3, 14, 43]"
84-40,2021,0051,16,18.07244993085355,20.72739651416122,21.399659891665173,317.0141952657641,0.5422151649463558,"[3, 12, 55]"
84-40,2021,0053,7,17.787572661467177,21.22242050616483,21.78870657230726,316.5081048623441,179.6849085477965,"[3, 79]"
84-40,2023,0125,15,54.80031760339525,54.83892914026997,55.14425981765228,325.0015384578972,180.30784243801503,"[3, 4]"
84-40,2023,0126,15,54.73345917275973,54.79995430790759,55.06782419967444,324.7692408223245,359.07466058177044,"[2, 3]"
84-40,2023,0127,15,54.5931203162993,54.67877276013746,55.013927576601674,324.5009630180874,180.0,"[3, 4, 43]"
84-40,2023,0132,9,53.10667392887035,53.173531954603966,53.51724137931034,338.51071969192856,1.178601895085336,[3]
84-40,2023,0133,8,52.86249195703745,52.80778463648834,53.223593964334704,339.01327407639957,180.25314612677334,"[3, 4]"
84-40,2023,0134,8,53.29827851186219,53.30578512396694,53.6551724137931,339.00036873136287,0.16976477583574479,"[3, 4, 43]"
84-40,2023,0135,8,53.01973660210261,52.97684792296572,53.29793466699278,337.01817458410164,178.81005106785756,"[3, 4]"
84-40,2023,0136,9,53.00558841313162,52.98090295589526,53.223878558133976,338.0184901127684,0.6750309605732241,[3]
84-40,2023,0137,18,50.87758949609963,54.130048183536644,54.956977341015126,329.00607897119465,180.1757533736399,"[3, 4, 767]"
84-40,2023,0138,18,50.95150030928508,53.70148728827981,55.48290830168204,334.51345264428454,0.5932782875270277,"[3, 4, 686]"
84-40,2023,0139,9,54.696890911051696,54.65279818332758,55.34454693434618,327.00152904841286,180.17561962565404,"[3, 4, 43]"
84-40,2023,0140,23,51.56919188653494,53.67334490814565,55.386740331491715,335.503353187416,0.21595879803513185,"[3, 4, 43, 4538]"
84-40,2023,0141,22,50.57968178583842,52.603502631029926,54.46372780230191,336.6485556184669,180.08734105965317,"[3, 4, 43, 4597]"
84-40,2023,0142,23,51.113897167342685,53.48189415041783,54.046855520404705,334.0,359.6970796896496,"[2, 3, 43, 508]"
84-40,2023,0143,23,50.78880682532681,53.11162659613675,53.98052155677756,334.51889809364343,180.03473478514218,"[3, 4, 43, 599]"
84-40,2023,0144,15,53.43801662214996,53.46296084758831,53.84160029741053,335.00970133128664,180.1258204059724,"[2, 3]"
