cell,route,fold,n_contam,n_clean,acc_contam,acc_clean,d_acc,miou_contam,miou_clean,d_miou,n_macro_contam,n_macro_clean,iou_contam_asfalt,iou_clean_asfalt,d_asfalt,iou_contam_fliser,iou_clean_fliser,d_fliser,iou_contam_grus,iou_clean_grus,d_grus,iou_contam_ubefestet,iou_clean_ubefestet,d_ubefestet,iou_contam_green_roof,iou_clean_green_roof,d_green_roof,iou_contam_drivhus,iou_clean_drivhus,d_drivhus,iou_contam_betonflade,iou_clean_betonflade,d_betonflade,iou_contam_brosten,iou_clean_brosten,d_brosten,iou_contam_solceller,iou_clean_solceller,d_solceller
swin_upernet_10ch_unw,82-20,2,522,86,0.8308622701092817,0.746378919424341,0.08448335068494073,0.27514742324092645,0.2687743533738593,0.006373069867067149,8,7,0.6403493545828978,0.5649776341479009,0.07537172043499685,0.28881487028023817,0.21928177518173242,0.06953309509850575,0.32211156844733846,0.26265914811359187,0.05945242033374659,0.8757744385723636,0.8273528484508644,0.04842159012149916,,,,0.007267963254675047,0.0071490677229253214,0.00011889553174972579,0.04952812007884855,0.0,0.04952812007884855,0.0,0.0,0.0,0.017333070711049833,0.0,0.017333070711049833
swin_upernet_10ch_unw,84-40,0,62,600,0.9860601167009305,0.775141413552323,0.2109187031486075,0.6224863180146967,0.1891287089139789,0.43335760910071774,3,9,0.8749825171975003,0.4681536994243766,0.4068288177731237,,0.14938102866888725,,0.0,0.13605474789523886,-0.13605474789523886,0.9924764368465898,0.8459809508081109,0.14649548603847895,,0.0,,,0.04096542726679713,,0.0,0.04077166391072132,-0.04077166391072132,,0.020808327160227652,,,4.253509145044662e-05,
swin_upernet_10ch_unw,84-41,2,61,282,0.9922777208671749,0.968616940731002,0.0236607801361729,0.9538180163134785,0.45431267013285953,0.499505346180619,2,5,0.9159909224570376,0.38072448787285196,0.5352664345841857,0.0,0.01086342390466896,-0.01086342390466896,0.0,0.07072846643653356,-0.07072846643653356,0.9916451101699194,0.9684170862595324,0.02322802391038703,,,,,,,0.0,0.0,0.0,,0.0,,,0.840829886190711,
swin_upernet_10ch_unw,85-45,2,173,228,0.975930847106257,0.9382449012841141,0.03768594582214291,0.9634182338508669,0.8857200145061939,0.07769821934467303,3,2,,,,,,,0.9930789277385863,0.0,0.9930789277385863,0.9501539400894634,0.8582191498222383,0.09193479026722506,,,,,,,,,,0.0,,,0.947021833724551,0.9132208791901493,0.033800954534401684
swin_upernet_6ch,82-20,2,522,86,0.8557676530610009,0.7585834250944322,0.09718422796656867,0.30120881772686425,0.2967960859625558,0.004412731764308453,8,7,0.711751040030901,0.5925723480387334,0.11917869199216757,0.2990959520145181,0.21655423353379208,0.08254171848072603,0.39597039867356115,0.2762938058263607,0.11967659284720045,0.8865757564543043,0.85337990604326,0.033195850411044336,,,,0.11054904239441274,0.13877230829574427,-0.028223265901331535,0.0,0.0,0.0,0.0,0.0,0.0,0.005728352247217104,0.0,0.005728352247217104
swin_upernet_6ch,84-40,0,62,600,0.9842641407513526,0.7832175272275388,0.2010466135238138,0.6134422386111124,0.18877051607586515,0.4246717225352472,3,9,0.8575823545991057,0.5208129086125884,0.33676944598651726,0.0,0.16264420195740578,-0.16264420195740578,0.0,0.1225092320484686,-0.1225092320484686,0.9827443612342316,0.8357880630661304,0.14695629816810118,,0.0,,,0.01654034275473248,,,0.031561696374512525,,,0.009078199868948167,,,0.0,
swin_upernet_6ch,84-41,2,61,282,0.9913046379793793,0.977698156007625,0.013606481971754292,0.9531257771903212,0.4237445605833569,0.5293812166069642,2,5,0.9157301603090471,0.3350565111634715,0.5806736491455755,0.0,0.0,0.0,0.0,0.10943190618133078,-0.10943190618133078,0.9905213940715955,0.9775869214604697,0.012934472611125791,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.6966474641115126,
swin_upernet_6ch,85-45,2,173,228,0.9710246473655815,0.8273758809812275,0.14364876638435398,0.9577665721387171,0.6900876118799443,0.2676789602587728,3,2,,,,,,,0.997589487897527,0.0,0.997589487897527,0.9390851515752824,0.5773489806335482,0.36173617094173416,,,,,,,,,,,,,0.9366250769433417,0.8028262431263403,0.13379883381700142
swin_upernet_6ch_unw,82-20,2,522,86,0.8377230538662838,0.7161455548607041,0.12157749900557968,0.2747295993146445,0.2534514265182177,0.021278172796426797,8,7,0.6626784961083618,0.4882226543436967,0.1744558417646651,0.26205154563423133,0.1939680396005878,0.06808350603364352,0.3564360046398592,0.23793804506840482,0.11849795957145437,0.9020416042280385,0.844549608264736,0.057491995963302456,,,,0.013066799725566021,0.009481638350098668,0.0035851613754673533,0.0,0.0,0.0,0.0,0.0,0.0,0.0015623441810989596,,
swin_upernet_6ch_unw,84-40,0,62,600,0.9854869108247329,0.7912003063102396,0.1942866045144933,0.6183652798358296,0.1949371982619579,0.4234280815738717,3,9,0.8696152165166692,0.5239132912265658,0.34570192529010335,0.0,0.16050751990480494,-0.16050751990480494,0.0,0.11522798814465927,-0.11522798814465927,0.9854806229908194,0.8540119441872577,0.13146867880356172,,0.0,,,0.0,,0.0,0.07099679136503527,-0.07099679136503527,,0.029302848916226677,,,0.0004744006130715615,
